id,streaming_service,type,title,available_countries,listed_in,main_genre,release_year,imdb_rating,imdb_num_votes
e112988,Amazon Prime Video,TV Show,Pat & Mat,,"Animation, Comedy, Family",Animation,1976,8.4,3223
e112996,Amazon Prime Video,TV Show,,,Sci-Fi & Fantasy,Sci-Fi,2002,,
e113006,Amazon Prime Video,TV Show,The Diplomat,,"Action, Crime, Drama",Action,2009,5.4,840
e113022,Amazon Prime Video,TV Show,,,Documentary,Documentary,2009,,
e113026,Amazon Prime Video,TV Show,Getting On,,Comedy,Comedy,2009,8.1,1561
e113038,Amazon Prime Video,TV Show,,,Documentary,Documentary,2008,,
e113041,Amazon Prime Video,TV Show,,,Animation,Animation,2015,,
e113083,Amazon Prime Video,TV Show,,,Drama,Drama,2003,,
e113085,Amazon Prime Video,TV Show,,,"Drama, War & Politics",Drama,2001,,
e113086,Amazon Prime Video,TV Show,,,"Mystery, Sci-Fi & Fantasy, Comedy",Mystery,2003,,
e113103,Amazon Prime Video,TV Show,On the Case with Paula Zahn,,"Crime, Documentary",Crime,2009,7.3,1142
e113108,Amazon Prime Video,TV Show,,,"Documentary, Drama",Documentary,2009,,
e113132,Amazon Prime Video,TV Show,,,Documentary,Documentary,2009,,
e113142,Amazon Prime Video,TV Show,,,"Kids, Comedy",Kids,1983,,
e113159,Amazon Prime Video,TV Show,,,Drama,Drama,2007,,
e113162,Amazon Prime Video,TV Show,,,"Documentary, Reality",Documentary,2008,,
e113163,Amazon Prime Video,TV Show,The Invisible Man,,"Drama, Sci-Fi, Thriller",Drama,1958,7,469
e113169,Amazon Prime Video,TV Show,,,Documentary,Documentary,2009,,
e113170,Amazon Prime Video,TV Show,,,Documentary,Documentary,2008,,
e113175,Amazon Prime Video,TV Show,,,"Comedy, Drama",Comedy,2003,,
e113178,Amazon Prime Video,TV Show,,,Documentary,Documentary,2009,,
e113192,Amazon Prime Video,TV Show,,,Documentary,Documentary,2009,,
e113203,Amazon Prime Video,TV Show,In Cold Blood,,"Crime, Drama, History",Crime,1996,6.2,1114
e113204,Amazon Prime Video,TV Show,,,Drama,Drama,1997,,
e113220,Amazon Prime Video,TV Show,,,"Reality, Documentary, Mystery",Reality,2008,,
e113237,Amazon Prime Video,TV Show,Beauty and the Geek Australia,,Reality-TV,Reality-TV,2009,6.3,351
e113238,Amazon Prime Video,TV Show,Monster,,"Animation, Crime, Drama",Animation,2004,8.7,55040
e113240,Amazon Prime Video,TV Show,Bleach,,"Action, Adventure, Animation",Action,2004,8.2,79941
e113241,Amazon Prime Video,TV Show,Speed Racer,,"Action, Adventure, Animation",Action,1967,7.2,3610
e113249,Amazon Prime Video,TV Show,Victorious,,"Comedy, Drama, Family",Comedy,2010,7,31505
e113251,Amazon Prime Video,TV Show,Misfits,,"Comedy, Drama, Fantasy",Comedy,2009,8.2,110101
e113253,Amazon Prime Video,TV Show,,,Documentary,Documentary,2009,,
e113264,Amazon Prime Video,TV Show,Iris,,"Action, Mystery, Romance",Action,2009,7.7,2484
e113285,Amazon Prime Video,TV Show,,,Reality,Reality,2010,,
e113286,Amazon Prime Video,TV Show,Worst Cooks in America,,"Comedy, Game-Show, Reality-TV",Comedy,2010,6.3,1791
e113289,Amazon Prime Video,TV Show,Naruto: Shippuden,,"Action, Adventure, Animation",Action,2007,8.7,193450
e113291,Amazon Prime Video,TV Show,Pretty Little Liars,,"Drama, Mystery, Romance",Drama,2010,7.4,183109
e113316,Amazon Prime Video,TV Show,Funny or Die Presents...,,Comedy,Comedy,2007,5.6,1338
e113318,Amazon Prime Video,TV Show,Mike & Molly,,"Comedy, Romance",Comedy,2010,6.5,28878
e113319,Amazon Prime Video,TV Show,Terra Nova,,"Adventure, Drama, Mystery",Adventure,2011,6.7,87366
